affiliation	freq	lat	lng
#N##N#aYonsei University	103	N/A	N/A
#N##N#aimec	343	N/A	N/A
#N##N#bArgonne National Laboratory	111	41.7183042	-87.978572
#N##TAB##TAB##TAB#aArgonne National Laboratory	444	41.7183042	-87.978572
#N##TAB##TAB##TAB#aAuburn University	152	32.5933574	-85.4951663
#N##TAB##TAB##TAB#aChonnam National University	110	32.8294811	-117.1272507
#N##TAB##TAB##TAB#aDrexel University	113	N/A	N/A
#N##TAB##TAB##TAB#aGeorgia Institute of Technology	166	33.7756178	-84.39628499999999
#N##TAB##TAB##TAB#aHanbat National University	138	32.8294811	-117.1272507
#N##TAB##TAB##TAB#aHanyang University	196	N/A	N/A
#N##TAB##TAB##TAB#aHokkaido University	143	N/A	N/A
#N##TAB##TAB##TAB#aImperial College London	106	51.51580380000001	-0.1895474
#N##TAB##TAB##TAB#aKanagawa University	128	N/A	N/A
#N##TAB##TAB##TAB#aKyoto University	183	N/A	N/A
#N##TAB##TAB##TAB#aLos Alamos National Laboratory	200	35.8440582	-106.287162
#N##TAB##TAB##TAB#aMassachusetts Institute of Technology	141	N/A	N/A
#N##TAB##TAB##TAB#aNational Renewable Energy Laboratory	167	39.7441107	-105.1513795
#N##TAB##TAB##TAB#aOak Ridge National Laboratory	149	35.931193	-84.310014
#N##TAB##TAB##TAB#aPacific Northwest National Laboratory	252	N/A	N/A
#N##TAB##TAB##TAB#aSandia National Laboratories	215	N/A	N/A
#N##TAB##TAB##TAB#aSeoul National University	204	32.8294811	-117.1272507
#N##TAB##TAB##TAB#aShinshu University	123	N/A	N/A
#N##TAB##TAB##TAB#aTokyo Institute of Technology	201	N/A	N/A
#N##TAB##TAB##TAB#aTokyo University of Science	253	39.9468299	-75.2070979
#N##TAB##TAB##TAB#aUniversity of California, San Diego	143	32.715738	-117.1610838
#N##TAB##TAB##TAB#aYonsei University	112	N/A	N/A
'Akadempribor' Research and Production Association, Academy of Science of Uzbekistan, Tashkent, Uzbekistan	102	41.2994958	69.2400734
(Astro)-Particles Physics	1301	N/A	N/A
(Geological Survey of China)	103	39.98861	116.346713
(Istituto Nazionale per lo Studio e la Cura dei Tumori, Milano)	282	45.4798334	9.2301924
(Jena)	138	50.927054	11.5892372
(MÃ¼nchen), 	121	N/A	N/A
* Medicine and	123	39.1074148	-94.56122850000001
*Department of Immunology and	176	47.6236978	-122.3414246
*Department of Medicine and	172	43.07788	-89.429693
*Department of Medicine,	171	37.4318102	-122.175758
*Department of Microbiology and Immunology and	117	40.8427073	-73.9426069
*Department of Pathology and	136	38.6350726	-90.26228619999999
*Department of Pathology,	129	38.6350726	-90.26228619999999
*Department of Poultry Science	129	35.7870859	-78.66837249999999
*Division of Nephrology and	113	39.138644	-84.5039261
*Immunology and	111	37.4355242	-122.1773884
*Medicine and	109	38.952512	-95.30804499999999
*Pathology and	109	32.7365021	-97.340939
*Steadman Philippon Research Institute, Vail, Colorado, USA	142	39.643196	-106.3816101
, SWITZERLAND	307	46.818188	8.227511999999999
, T, 	312	37.09024	-95.712891
- bin	160	36.7225468	-95.71820699999999
- bo	101	44.9406024	-123.0380217
- cheng	112	36.1446118	-95.9667127
- chun	137	37.693576	-97.137952
- fang	176	37.7857931	-122.3998953
- feng	267	38.9120696	-94.6432324
- gang	105	38.78803910000001	-89.9819085
- guo	151	40.7607236	-73.82988209999999
- hong	375	36.105668	-95.90499500000001
- hui	256	37.09024	-95.712891
- jun	327	44.9887319	-93.2779113
- li	255	40.8564655	-96.6564235
- liang	130	37.322264	-122.019334
- lin	230	30.272824	-97.758043
- ling	221	37.1758244	-93.2724775
- mei	257	39.2368622	-84.34787120000001
- min	269	37.7979165	-95.952484
- ming	387	40.57076989999999	-74.340267
- qiang	127	N/A	N/A
- qin	136	37.09024	-95.712891
- qing	263	34.10303	-118.091739
- quan	124	38.50842859999999	-121.4351688
- rong	225	35.078094	-92.4347241
- sheng	257	39.067694	-94.59052299999999
- wei	213	36.077492	-95.922703
- wen	168	37.09024	-95.712891
- xia	184	35.141363	111.220456
- xiang	200	40.7580804	-73.9923783
- xin	170	28.3494444	116.3252778
- yan	219	36.0727771	-95.9195026
- yi	122	37.4441609	-122.1637657
- ying	297	36.1375569	-94.1436122
- yong	122	42.4250159	-71.0648175
- yu	173	45.5170155	-122.6554905
- yuan	153	47.6194628	-122.1989303
- yun	153	43.5805094	-79.64755699999999
- zhen	121	47.4846557	-122.1969766
- zhi	129	30.267079	-97.69238100000001
- zhong	179	30.299559	108.039002
-Bin	257	N/A	N/A
-Bing	117	N/A	N/A
-Bo	219	N/A	N/A
-Chang	127	N/A	N/A
-Cheng	246	N/A	N/A
-Chun	232	N/A	N/A
-Fang	280	N/A	N/A
-Feng	481	N/A	N/A
-Feng~	192	N/A	N/A
-Fu	202	N/A	N/A
-Gang	205	N/A	N/A
-Guang	161	N/A	N/A
-Guo	217	N/A	N/A
-Guo~	108	N/A	N/A
-Hai	148	N/A	N/A
-Hang	124	N/A	N/A
-Hong	482	N/A	N/A
-Hong~	197	N/A	N/A
-Hui	368	N/A	N/A
-Hui~	169	N/A	N/A
-Ji	110	N/A	N/A
-Jian	259	N/A	N/A
-Jiang	191	N/A	N/A
-Jie	386	N/A	N/A
-Jin	206	N/A	N/A
-Jing	190	N/A	N/A
-Juan	323	N/A	N/A
-Jun	1092	N/A	N/A
-Jun~	259	N/A	N/A
-Kun	116	N/A	N/A
-Lan	183	N/A	N/A
-Li	742	N/A	N/A
-Lian	129	N/A	N/A
-Liang	378	N/A	N/A
-Liang~	119	N/A	N/A
-Lin	605	N/A	N/A
-Ling	439	N/A	N/A
-Ling~	111	N/A	N/A
-Lin~	144	N/A	N/A
-Li~	177	N/A	N/A
-Long	224	N/A	N/A
-Mei	322	N/A	N/A
-Mei~	127	N/A	N/A
-Min	390	N/A	N/A
-Ming	551	N/A	N/A
-Ming~	219	N/A	N/A
-Min~	126	N/A	N/A
-Peng	124	N/A	N/A
-Qi	141	N/A	N/A
-Qiang	210	N/A	N/A
-Qin	207	N/A	N/A
-Qing	362	N/A	N/A
